2016 Census Profiles Files / Profile of Census Tracts

"COL0","GEO UID"
"COL1","Census Tract name"
"COL2","Housing - Total Sex / Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data / Average monthly shelter costs for rented dwellings ($)"
"COL3","Education - Total Sex / Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data"
"COL4","Education - Total Sex / Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above"

"COL0","COL1","COL2","COL3","COL4"

5390000.00,0000.00,901.00,337885.00,56680.00
5390001.00,0001.00,927.00,3825.00,670.00
5390002.00,0002.00,1064.00,5585.00,1740.00
5390003.01,0003.01,806.00,3930.00,465.00
5390003.02,0003.02,995.00,6475.00,1695.00
5390004.01,0004.01,807.00,3480.00,1105.00
5390004.02,0004.02,830.00,3290.00,735.00
5390005.00,0005.00,794.00,2965.00,680.00
5390006.00,0006.00,913.00,1635.00,630.00
5390007.01,0007.01,940.00,3855.00,465.00
5390007.02,0007.02,926.00,4500.00,570.00
5390008.00,0008.00,929.00,2175.00,250.00
5390009.00,0009.00,776.00,5700.00,735.00
5390010.00,0010.00,887.00,3130.00,540.00
5390011.00,0011.00,876.00,5955.00,1120.00
5390012.01,0012.01,897.00,3665.00,535.00
5390012.02,0012.02,901.00,5080.00,635.00
5390013.01,0013.01,914.00,3900.00,415.00
5390013.02,0013.02,996.00,3935.00,395.00
5390014.01,0014.01,805.00,3125.00,380.00
5390014.02,0014.02,995.00,4395.00,630.00
5390014.03,0014.03,965.00,2860.00,390.00
5390015.00,0015.00,0.00,820.00,190.00
5390016.01,0016.01,963.00,3760.00,665.00
5390016.02,0016.02,1160.00,3725.00,860.00
5390017.01,0017.01,1014.00,3275.00,570.00
5390017.02,0017.02,1189.00,3620.00,735.00
5390018.01,0018.01,955.00,3870.00,865.00
5390018.02,0018.02,1028.00,3725.00,765.00
5390018.03,0018.03,1063.00,3305.00,1240.00
5390019.00,0019.00,1086.00,975.00,230.00
5390020.00,0020.00,1012.00,525.00,80.00
5390100.00,0100.00,813.00,2485.00,305.00
5390101.00,0101.00,914.00,4855.00,645.00
5390102.01,0102.01,1077.00,4360.00,990.00
5390102.02,0102.02,975.00,2850.00,245.00
5390102.03,0102.03,1084.00,1075.00,160.00
5390110.00,0110.00,1336.00,3625.00,1450.00
5390111.00,0111.00,1117.00,6030.00,1535.00
5390112.00,0112.00,1521.00,5155.00,1415.00
5390200.00,0200.00,872.00,2585.00,390.00
5390201.00,0201.00,950.00,4155.00,405.00
5390202.00,0202.00,1735.00,920.00,195.00
5390203.01,0203.01,826.00,4500.00,305.00
5390203.02,0203.02,1144.00,2965.00,345.00
5390204.00,0204.00,907.00,5810.00,625.00
5390205.00,0205.00,879.00,1270.00,135.00
5390206.00,0206.00,800.00,4155.00,430.00
5390207.00,0207.00,862.00,4875.00,465.00
5390208.00,0208.00,1084.00,5085.00,805.00
5390209.03,0209.03,857.00,3935.00,525.00
5390209.04,0209.04,860.00,2735.00,395.00
5390209.05,0209.05,1112.00,5305.00,935.00
5390209.06,0209.06,953.00,2620.00,765.00
5390210.00,0210.00,1154.00,6590.00,1770.00
5390211.00,0211.00,1237.00,3610.00,755.00
5390212.00,0212.00,906.00,1650.00,265.00
5390213.00,0213.00,1165.00,2590.00,490.00
5390214.00,0214.00,851.00,3815.00,435.00
5390215.00,0215.00,830.00,3585.00,250.00
5390220.01,0220.01,1324.00,4890.00,1535.00
5390220.02,0220.02,980.00,4275.00,1235.00
5390221.00,0221.00,852.00,5015.00,1105.00
5390230.00,0230.00,1061.00,5365.00,665.00
5390240.00,0240.00,1058.00,6240.00,1135.00
5390241.00,0241.00,786.00,2270.00,555.00
5390242.01,0242.01,1070.00,6665.00,1135.00
5390242.02,0242.02,895.00,3725.00,805.00
5390300.00,0300.00,836.00,1165.00,100.00
5390301.00,0301.00,888.00,4025.00,370.00
5390302.00,0302.00,874.00,2745.00,70.00
5390303.00,0303.00,0.00,1330.00,175.00
5390304.00,0304.00,791.00,3280.00,155.00
5390305.00,0305.00,730.00,1710.00,75.00
5390306.00,0306.00,740.00,1910.00,140.00
5390307.00,0307.00,752.00,4040.00,240.00
5390308.00,0308.00,891.00,1750.00,220.00
5390309.00,0309.00,793.00,2235.00,465.00
5390310.01,0310.01,880.00,2410.00,285.00
5390310.02,0310.02,960.00,5675.00,885.00
5390311.02,0311.02,1022.00,4565.00,765.00
5390311.03,0311.03,937.00,4295.00,850.00
5390311.04,0311.04,1032.00,2615.00,370.00
5390320.00,0320.00,804.00,2795.00,125.00
5390321.00,0321.00,921.00,3860.00,650.00
5390322.00,0322.00,798.00,2870.00,155.00
5390323.00,0323.00,785.00,2790.00,300.00
5390324.00,0324.00,679.00,3100.00,310.00
5390330.00,0330.00,851.00,3530.00,305.00
5390331.01,0331.01,1020.00,4210.00,565.00
5390331.02,0331.02,816.00,2905.00,420.00
5390332.00,0332.00,830.00,3555.00,520.00
5390333.00,0333.00,934.00,2955.00,345.00
5390334.01,0334.01,860.00,5160.00,670.00
5390334.02,0334.02,808.00,3700.00,555.00


